 Time;Temp;RPM;COUNTER;BearingDE;BearingNDE;Unbal;Misal;Losenes 

2019-03-15-11:59:47; 27.4;65111.0;0.0;20.95858;20.95858;0.8590514;0.0;0.0
2019-03-15-12:00:07; 27.4;65210.0;0.0;18.71943;18.71943;0.8772003;0.0;0.0
2019-03-15-12:00:27; 27.5;65302.0;0.0;32.65916;32.65916;0.9038014;0.0;0.0
2019-03-15-12:00:47; 27.5;65300.0;0.0;13.238323;13.238323;0.8625565;0.0;0.0
2019-03-15-12:01:08; 27.5;65304.0;0.0;18.44186;18.44186;0.8464257;0.0;0.0
2019-03-15-12:01:28; 27.5;65301.0;0.0;21.36611;21.36611;0.8538808;0.0;0.0
2019-03-15-12:01:48; 27.6;65303.0;0.0;19.06985;19.06985;0.8441333;0.0;0.0
2019-03-15-12:02:08; 27.6;65118.0;0.0;22.08675;22.08675;0.8922791;0.0;0.0
2019-03-15-12:02:29; 27.6;65368.0;0.0;17.24474;17.24474;0.7586542;0.0;0.0
2019-03-15-12:02:49; 27.7;65408.0;0.0;19.78435;19.78435;0.8447878;0.0;0.0
2019-03-15-12:03:09; 27.7;65410.0;0.0;22.21552;22.21552;0.9209051;0.0;0.0
2019-03-15-12:03:29; 27.7;65294.0;0.0;18.93326;18.93326;0.9147173;0.0;0.0
2019-03-15-12:03:49; 27.8;65300.0;0.0;15.497307;15.497307;0.9177389;0.0;0.0
2019-03-15-12:04:10; 27.8;65298.0;0.0;19.74163;19.74163;0.867159;0.0;0.0
2019-03-15-12:04:30; 27.8;65212.0;0.0;25.30904;25.30904;0.8199427;0.0;0.0
2019-03-15-12:04:50; 27.8;65209.0;0.0;19.96502;19.96502;0.9292222;0.0;0.0
2019-03-15-12:05:10; 27.9;65214.0;0.0;16.19669;16.19669;0.8424271;0.0;0.0
2019-03-15-12:05:31; 27.9;65213.0;0.0;20.36978;20.36978;0.9316521;0.0;0.0
2019-03-15-12:05:51; 28.0;65211.0;0.0;22.27961;22.27961;0.9113151;0.0;0.0
2019-03-15-12:06:11; 28.0;65211.0;0.0;18.9036;18.9036;0.8386931;0.0;0.0
2019-03-15-12:06:31; 28.0;0.0;0.0;18.03013;18.03013;0.09450205;0.0;0.0
2019-03-15-12:06:51; 28.1;0.0;0.0;0.9631068;0.9631068;0.05629958;0.0;0.0
2019-03-15-12:07:12; 28.1;0.0;0.0;0.686186;0.686186;0.05271142;0.0;0.0
2019-03-15-12:07:32; 28.1;0.0;0.0;1.080638;1.080638;0.04104047;0.0;0.0
2019-03-15-12:07:52; 28.1;0.0;0.0;0.8785497;0.8785497;0.02871066;0.0;0.0
2019-03-15-12:08:12; 28.1;0.0;0.0;0.9636203;0.9636203;0.07752861;0.0;0.0
2019-03-15-12:08:33; 28.1;0.0;0.0;0.7820868;0.7820868;0.04263278;0.0;0.0
2019-03-15-12:08:53; 28.1;0.0;0.0;1.051472;1.051472;0.04454169;0.0;0.0
2019-03-15-12:09:13; 28.2;0.0;0.0;0.8807406;0.8807406;0.0401062;0.0;0.0
2019-03-15-12:09:33; 28.2;0.0;0.0;0.8506164;0.8506164;0.05675214;0.0;0.0
2019-03-15-12:09:53; 28.2;0.0;0.0;0.8062464;0.8062464;0.03727667;0.0;0.0
2019-03-15-12:10:14; 28.2;0.0;0.0;1.101117;1.101117;0.03901129;0.0;0.0
2019-03-15-12:10:34; 28.1;0.0;0.0;0.9755035;0.9755035;0.0429339;0.0;0.0
2019-03-15-12:10:54; 28.1;0.0;0.0;1.006312;1.006312;0.04355049;0.0;0.0
2019-03-15-12:11:14; 28.1;0.0;0.0;0.6663784;0.6663784;0.04289815;0.0;0.0
2019-03-15-12:11:34; 28.1;0.0;0.0;0.8676261;0.8676261;0.0512855;0.0;0.0
2019-03-15-12:11:55; 28.1;0.0;0.0;0.8260631;0.8260631;0.03720111;0.0;0.0
2019-03-15-12:12:15; 28.1;0.0;0.0;0.7981286;0.7981286;0.07938504;0.0;0.0
2019-03-15-12:12:35; 28.1;0.0;0.0;0.8149232;0.8149232;0.05215234;0.0;0.0
2019-03-15-12:12:55; 28.1;0.0;0.0;1.003835;1.003835;0.03738521;0.0;0.0
2019-03-15-12:13:15; 28.1;0.0;0.0;0.8785584;0.8785584;0.05741084;0.0;0.0
2019-03-15-12:13:36; 28.1;0.0;0.0;1.135583;1.135583;0.05477804;0.0;0.0
2019-03-15-12:13:56; 28.1;0.0;0.0;0.9579393;0.9579393;0.0669218;0.0;0.0
2019-03-15-12:14:16; 28.1;0.0;0.0;1.00503;1.00503;0.04774311;0.0;0.0
2019-03-15-12:14:36; 28.1;0.0;0.0;1.135914;1.135914;0.04271288;0.0;0.0
2019-03-15-12:14:57; 28.1;0.0;0.0;0.7805071;0.7805071;0.03434028;0.0;0.0
2019-03-15-12:15:17; 28.1;0.0;0.0;0.9397489;0.9397489;0.05200205;0.0;0.0
2019-03-15-12:15:37; 28.1;0.0;0.0;1.02361;1.02361;0.03061277;0.0;0.0
2019-03-15-12:15:57; 28.1;0.0;0.0;1.043112;1.043112;0.03429767;0.0;0.0
2019-03-15-12:16:18; 28.1;0.0;0.0;0.9513955;0.9513955;0.06195725;0.0;0.0
